name,title,medium,year,size,sale,sold,estimate
Javier Martin,Blindness Esfera Azul,"acrylic, charcoal, oil stick, and paper collage with neon light fixture on panel",2019,Height 59.1 in.; Width 59.1 in. / Height 150 cm.; Width 150 cm.,"Christie's New York: Friday, October 1, 2021 [Lot 00209]
Post-War to Present","17,500 USD Premium","10,000 - 15,000 USD ?"
Richard Lin,March the Seventh 1971,oil on canvas,1971,Height 40 in.; Width 40 in. / Height 101.6 cm.; Width 101.6 cm.,"Christie's New York: Friday, October 1, 2021 [Lot 00158]
Post-War to Present","137,500 USD Premium","100,000 - 150,000 USD ?"
Nina Chanel Abney,Untitled,diptych—acrylic on canvas,2011,Height 10 in.; Width 20 in. / Height 25.4 cm.; Width 50.8 cm.,"Christie's New York: Friday, October 1, 2021 [Lot 00088]
Post-War to Present","19,375 USD Premium","15,000 - 20,000 USD ?"
Jean-Baptiste Bernadet,Untitled (Fugue XXVIII),oil and cold wax on canvas,2014,Height 78.7 in.; Width 70.7 in. / Height 200 cm.; Width 179.7 cm.,"Christie's New York: Friday, October 1, 2021 [Lot 00211]
Post-War to Present","17,500 USD Premium","8,000 - 12,000 USD ?"
Math Bass,Newz!,gouache on canvas,2015,Height 24 in.; Width 60 in. / Height 61 cm.; Width 152.4 cm.,"Christie's New York: Friday, October 1, 2021 [Lot 00212]
Post-War to Present","22,500 USD Premium","15,000 - 20,000 USD ?"
Aaron Garber-Maikovska,Untitled,oil and ink on fluted polyboard,2016,Height 20 in.; Width 16.5 in. / Height 50.8 cm.; Width 41.9 cm.,"8,000 - 12,000 USD ?",,Bought In
Lucien Smith,Untitled (Flood Painting 20),oil on canvas,2019,Height 72 in.; Width 55 in. / Height 182.9 cm.; Width 139.7 cm.,"Christie's New York: Friday, October 1, 2021 [Lot 00186]
Post-War to Present",Bought In,"25,000 - 35,000 USD ?"
Mickalene Thomas,Portrait of Aaliyah,"rhinestones, oil stick, acrylic, and oil paint on wood panel",2018,Height 48.1 in.; Width 60 in.; Depth 2 in. / Height 122.2 cm.; Width 152.4 cm.; Depth 5.1 cm.,"Christie's New York: Friday, October 1, 2021 [Lot 00050]
Post-War to Present","625,000 USD Premium","200,000 - 300,000 USD ?"
Qin Feng,QIN FENG (B. 1961),"Scroll for framing, ink, coffee and tea on canvas",2004,Height 141.3 in.; Width 62.6 in. / Height 359 cm.; Width 159 cm.,"Christie's New York: Friday, September 24, 2021 [Lot 00799]
Important Chinese Ceramics and Works of Art",Bought In,"25,000 - 35,000 USD ?"
Ganesh Pyne,The Moon,tempera on canvas,2006,Height 21.1 in.; Width 22.1 in. / Height 53.7 cm.; Width 56.2 cm.,"Christie's New York: Wednesday, September 22, 2021 [Lot 00611]
South Asian Modern + Contemporary Art","106,250 USD Premium","70,000 - 90,000 USD ?"
M.F. Husain,Untitled (Two Women),oil on canvas,Circa 1960-1969,Height 29.9 in.; Width 48 in. / Height 76 cm.; Width 122 cm.,"Christie's New York: Wednesday, September 22, 2021 [Lot 00668]
South Asian Modern + Contemporary Art",Bought In,"100,000 - 150,000 USD ?"
M.F. Husain,Untitled (Fertility),oil on canvas,1968,Height 35.7 in.; Width 27.8 in. / Height 90.8 cm.; Width 70.5 cm.,"Christie's New York: Wednesday, September 22, 2021 [Lot 00669]
South Asian Modern + Contemporary Art","93,750 USD Premium","60,000 - 80,000 USD ?"
M.F. Husain,Untitled (Gujarat),acrylic on canvas,Circa 2000,Height 50.7 in.; Width 82 in. / Height 128.9 cm.; Width 208.3 cm.,"Christie's New York: Wednesday, September 22, 2021 [Lot 00670]
South Asian Modern + Contemporary Art","375,000 USD Premium","150,000 - 200,000 USD ?"
M.F. Husain,Untitled (Shiva and Parvati),oil on canvas,1969,Height 45.7 in.; Width 32 in. / Height 116.2 cm.; Width 81.3 cm.,"Christie's New York: Wednesday, September 22, 2021 [Lot 00672]
South Asian Modern + Contemporary Art","93,750 USD Premium","60,000 - 80,000 USD ?"
Francis Newton Souza,Standing Nude,oil on canvas,1975,Height 23 in.; Width 15 in. / Height 58.4 cm.; Width 38.1 cm.,"Christie's New York: Wednesday, September 22, 2021 [Lot 00627]
South Asian Modern + Contemporary Art",Bought In,"30,000 - 50,000 USD ?"
M.F. Husain,Earth (Autobiography Series),acrylic on canvas,Circa 1990-1994,Height 53 in.; Width 53 in. / Height 134.6 cm.; Width 134.6 cm.,"Christie's New York: Wednesday, September 22, 2021 [Lot 00623]
South Asian Modern + Contemporary Art","106,250 USD Premium","80,000 - 120,000 USD ?"
Ram Kumar,Untitled,oil on canvas,1977,Height 39.9 in.; Width 55 in. / Height 101.3 cm.; Width 139.7 cm.,"Christie's New York: Wednesday, September 22, 2021 [Lot 00632]
South Asian Modern + Contemporary Art","100,000 USD Premium","80,000 - 120,000 USD ?"
Ram Kumar,Untitled,oil on canvas,2004,Height 48.5 in.; Width 31 in. / Height 123.2 cm.; Width 78.7 cm.,"Christie's New York: Wednesday, September 22, 2021 [Lot 00634]
South Asian Modern + Contemporary Art",Bought In,"60,000 - 80,000 USD ?"
Sadanand K. Bakre,Untitled (Cityscape),oil on board,1963,Height 18.1 in.; Width 48 in. / Height 46 cm.; Width 121.9 cm.,"Christie's New York: Wednesday, September 22, 2021 [Lot 00637]
South Asian Modern + Contemporary Art","40,000 USD Premium","25,000 - 35,000 USD ?"
M.F. Husain,Mémé,acrylic on canvas,1983,Height 48 in.; Width 96 in. / Height 121.9 cm.; Width 243.8 cm.,"Christie's New York: Wednesday, September 22, 2021 [Lot 00653]
South Asian Modern + Contemporary Art","87,500 USD Premium","70,000 - 90,000 USD ?"
M.F. Husain,Untitled (Kashmir),acrylic on canvas,Circa 2000-2009,Height 36 in.; Width 48 in. / Height 91.4 cm.; Width 121.9 cm.,"Christie's New York: Wednesday, September 22, 2021 [Lot 00658]
South Asian Modern + Contemporary Art","87,500 USD Premium","60,000 - 80,000 USD ?"
Anjolie Ela Menon,Untitled (Shameena; Madonna),oil on masonite,1989-1990,Height 29.3 in.; Width 23.3 in. / Height 74.3 cm.; Width 59.1 cm.,"Christie's New York: Wednesday, September 22, 2021 [Lot 00615]
South Asian Modern + Contemporary Art","40,000 USD Premium","15,000 - 20,000 USD ?"
Francis Newton Souza,The Cardinal,oil and pastel on canvas,1962,Height 24 in.; Width 30 in. / Height 61 cm.; Width 76.2 cm.,"Christie's New York: Wednesday, September 22, 2021 [Lot 00666]
South Asian Modern + Contemporary Art",Bought In,"280,000 - 350,000 USD ?"
Francis Newton Souza,Untitled (Man in Tunic),"oil, acrylic and pastel on canvas",1961,Height 30 in.; Width 26 in. / Height 76.2 cm.; Width 66 cm.,"Christie's New York: Wednesday, September 22, 2021 [Lot 00625]
South Asian Modern + Contemporary Art",Bought In,"60,000 - 80,000 USD ?"
Francis Newton Souza,Head of a Woman,oil on board,1952,Height 25.5 in.; Width 21.3 in. / Height 64.8 cm.; Width 54 cm.,"Christie's New York: Wednesday, September 22, 2021 [Lot 00630]
South Asian Modern + Contemporary Art","212,500 USD Premium","150,000 - 250,000 USD ?"
M.F. Husain,Untitled (Horses),oil on canvas,Circa 1960-1969,Height 30 in.; Width 40 in. / Height 76.2 cm.; Width 101.6 cm.,"Christie's New York: Wednesday, September 22, 2021 [Lot 00631]
South Asian Modern + Contemporary Art","162,500 USD Premium","100,000 - 150,000 USD ?"
Bhupen Khakhar,Untitled (Tree in a Walled Garden),oil and gold paint on board,Circa 1967,Height 36 in.; Width 36 in. / Height 91.4 cm.; Width 91.4 cm.,"Christie's New York: Wednesday, September 22, 2021 [Lot 00639]
South Asian Modern + Contemporary Art","990,000 USD Premium","350,000 - 500,000 USD ?"
Ram Kumar,Untitled,oil on board,Circa 1990-1999,Height 36 in.; Width 48 in. / Height 91.4 cm.; Width 121.9 cm.,"Christie's New York: Wednesday, September 22, 2021 [Lot 00647]
South Asian Modern + Contemporary Art","75,000 USD Premium","60,000 - 80,000 USD ?"
Anjolie Ela Menon,Untitled (Beach Scene),oil on masonite,1985,Height 9.5 in.; Width 7.5 in. / Height 24.1 cm.; Width 19 cm.,"Christie's New York: Wednesday, September 22, 2021 [Lot 00656]
South Asian Modern + Contemporary Art","7,500 USD Premium","2,500 - 3,500 USD ?"
Krishen Khanna,Pieta,oil on canvas,Height 40 in.; Width 30 in. / Height 101.6 cm.; Width 76.2 cm.,"Signed, Inscribed","70,000 - 90,000 USD ?",,"87,500 USD Premium ?"
Indian School-Bengal (19),Untitled (Ganesh Janani),oil on canvas,Circa 1875-1899,Height 24 in.; Width 17.8 in. / Height 61 cm.; Width 45.1 cm.,"18,000 - 25,000 USD ?",,"43,750 USD Premium ?"
George Keyt,Untitled,oil on canvas,Circa 1970-1979,Height 33.4 in.; Width 28 in. / Height 84.8 cm.; Width 71.1 cm.,"Christie's New York: Wednesday, September 22, 2021 [Lot 00618]
South Asian Modern + Contemporary Art","43,750 USD Premium","10,000 - 15,000 USD ?"
School of Raja Ravi Varma,Untitled (Lady with Vase),oil on canvas,Circa 1900-1925,Height 30.5 in.; Width 26 in. / Height 77.5 cm.; Width 66 cm.,"40,000 - 60,000 USD ?",,"37,500 USD Premium ?"
Tyeb Mehta,Figure,oil on board,1961,Height 35.5 in.; Width 25.5 in. / Height 90.2 cm.; Width 64.8 cm.,"Christie's New York: Wednesday, September 22, 2021 [Lot 00667]
South Asian Modern + Contemporary Art","400,000 USD Premium","200,000 - 300,000 USD ?"
Anwar Jalal Shemza,City Wall,oil on board,1960,Height 22 in.; Width 10 in. / Height 55.9 cm.; Width 25.4 cm.,"Christie's New York: Wednesday, September 22, 2021 [Lot 00676]
South Asian Modern + Contemporary Art","231,250 USD Premium","30,000 - 50,000 USD ?"
Ismail Gulgee,Untitled (Cosmic Hexagon Series),oil on canvas,1974,Height 52.2 in.; Width 60 in. / Height 132.7 cm.; Width 152.4 cm.,"Christie's New York: Wednesday, September 22, 2021 [Lot 00679]
South Asian Modern + Contemporary Art","37,500 USD Premium","30,000 - 50,000 USD ?"
Askari Mian Irani,Untitled (Royal Hunt),oil on canvas,1991,Height 30 in.; Width 30 in. / Height 76.2 cm.; Width 76.2 cm.,"Christie's New York: Wednesday, September 22, 2021 [Lot 00684]
South Asian Modern + Contemporary Art","6,875 USD Premium","3,000 - 5,000 USD ?"
Gogi Saroj Pal,Untitled (Woman with Flowers),acrylic on printed fabric laid on canvas,2002,Height 75.2 in.; Width 36 in. / Height 191.1 cm.; Width 91.4 cm.,"Christie's New York: Wednesday, September 22, 2021 [Lot 00620]
South Asian Modern + Contemporary Art","9,375 USD Premium","3,000 - 5,000 USD ?"
Sayed Haider Raza,Prakriti,acrylic on canvas,2013,Height 39.4 in.; Width 39.4 in. / Height 100 cm.; Width 100 cm.,"Christie's New York: Wednesday, September 22, 2021 [Lot 00652]
South Asian Modern + Contemporary Art","106,250 USD Premium","80,000 - 120,000 USD ?"
Ambadas Khobragade,Untitled,oil on canvas,1968,Height 54.5 in.; Width 27 in. / Height 138.4 cm.; Width 68.6 cm.,"Christie's New York: Wednesday, September 22, 2021 [Lot 00642]
South Asian Modern + Contemporary Art","31,250 USD Premium","10,000 - 15,000 USD ?"
Gulam Rasool Santosh,Camouflage,oil on canvas,1961,Height 52.1 in.; Width 34.3 in. / Height 132.4 cm.; Width 87 cm.,"Christie's New York: Wednesday, September 22, 2021 [Lot 00644]
South Asian Modern + Contemporary Art","35,000 USD Premium","20,000 - 30,000 USD ?"
Sakti Burman,Last Supper,oil on canvas,1966,Height 28.7 in.; Width 39.4 in. / Height 73 cm.; Width 100 cm.,"Christie's New York: Wednesday, September 22, 2021 [Lot 00664]
South Asian Modern + Contemporary Art",Bought In,"40,000 - 60,000 USD ?"
Indian School-Bengal (19),Untitled (Radha and Krishna; Shiva as Mendicant; Krishna with Arjuna),oil on board,Circa 1875-1899,Height 21.3 in.; Width 32.6 in. / Height 54 cm.; Width 82.9 cm.,"40,000 - 60,000 USD ?",,"75,000 USD Premium ?"
Sakti Burman,Untitled (Harlequin with Bird),oil on canvas,Circa 1970-1974,Height 25.7 in.; Width 21.3 in. / Height 65.4 cm.; Width 54 cm.,"Christie's New York: Wednesday, September 22, 2021 [Lot 00616]
South Asian Modern + Contemporary Art","40,000 USD Premium","30,000 - 50,000 USD ?"
Jamini Roy,Untitled (Cat with Prawn),tempera on board,Height 14 in.; Width 17.1 in. / Height 35.6 cm.; Width 43.5 cm.,Signed,"8,000 - 12,000 USD ?",,"10,000 USD Premium ?"
Jamil Naqsh,Untitled (Woman and Pigeon),oil on canvas,1971,Height 29.5 in.; Width 42 in. / Height 74.9 cm.; Width 106.7 cm.,"Christie's New York: Wednesday, September 22, 2021 [Lot 00685]
South Asian Modern + Contemporary Art","21,250 USD Premium","25,000 - 35,000 USD ?"
Narayan Shridhar Bendre,Untitled (Women Picking Fruit),oil on canvas,1973,Height 34 in.; Width 38 in. / Height 86.4 cm.; Width 96.5 cm.,"Christie's New York: Wednesday, September 22, 2021 [Lot 00619]
South Asian Modern + Contemporary Art","137,500 USD Premium","80,000 - 120,000 USD ?"
Bal Chhabda,Untitled (Female Figure),oil on canvas,2002,Height 50 in.; Width 36 in. / Height 127 cm.; Width 91.4 cm.,"Christie's New York: Wednesday, September 22, 2021 [Lot 00673]
South Asian Modern + Contemporary Art",Bought In,"10,000 - 15,000 USD ?"
Anwar Jalal Shemza,Untitled,oil on canvas,1965,Height 24.8 in.; Width 33.9 in. / Height 62.9 cm.; Width 86 cm.,"Christie's New York: Wednesday, September 22, 2021 [Lot 00675]
South Asian Modern + Contemporary Art","75,000 USD Premium","60,000 - 80,000 USD ?"
Bal Chhabda,Untitled (Still Life with Figure),oil on canvas,2002,Height 54 in.; Width 72 in. / Height 137.2 cm.; Width 182.9 cm.,"Christie's New York: Wednesday, September 22, 2021 [Lot 00674]
South Asian Modern + Contemporary Art","15,000 USD Premium","12,000 - 18,000 USD ?"
Sadequain,Acrobats,oil on canvas,1966,Height 47 in.; Width 70 in. / Height 119.4 cm.; Width 177.8 cm.,"Christie's New York: Wednesday, September 22, 2021 [Lot 00681]
South Asian Modern + Contemporary Art","32,500 USD Premium","30,000 - 50,000 USD ?"
Mansoor Rahi,Faces in Cyclone,oil on canvas,1971,Height 31.6 in.; Width 36.3 in. / Height 80.3 cm.; Width 92.1 cm.,"Christie's New York: Wednesday, September 22, 2021 [Lot 00683]
South Asian Modern + Contemporary Art","8,125 USD Premium","3,000 - 5,000 USD ?"
B. Prabha,A Good Catch,oil on canvas,1961,Height 22.1 in.; Width 45 in. / Height 56.2 cm.; Width 114.3 cm.,"Christie's New York: Wednesday, September 22, 2021 [Lot 00621]
South Asian Modern + Contemporary Art","18,750 USD Premium","10,000 - 15,000 USD ?"
Jehangir Sabavala,The Embarkation,oil on canvas,1965,Height 42.2 in.; Width 32.2 in. / Height 107.3 cm.; Width 81.9 cm.,"Christie's New York: Wednesday, September 22, 2021 [Lot 00624]
South Asian Modern + Contemporary Art","1,590,000 USD Premium","300,000 - 500,000 USD ?"
Akbar Padamsee,Untitled (Nude),oil on canvas,2004,Height 36 in.; Width 24 in. / Height 91.4 cm.; Width 61 cm.,"Christie's New York: Wednesday, September 22, 2021 [Lot 00629]
South Asian Modern + Contemporary Art",Bought In,"40,000 - 60,000 USD ?"
Sayed Haider Raza,Paysage,oil on canvas,1964,Height 59 in.; Width 19.5 in. / Height 149.9 cm.; Width 49.5 cm.,"Christie's New York: Wednesday, September 22, 2021 [Lot 00635]
South Asian Modern + Contemporary Art","225,000 USD Premium","150,000 - 200,000 USD ?"
Nasreen Mohamedi,Untitled,gelatin silver prints on paper,Circa 1970-1979,Later Imp 1990 - 1999,2/10,"70,000 - 90,000 USD",
Hari Ambadas Gade,Untitled,oil on canvas,Height 32 in.; Width 23.7 in. / Height 81.3 cm.; Width 60.3 cm.,Inscribed,"12,000 - 18,000 USD ?",,"23,750 USD Premium ?"
Satish Gujral,Untitled (Ganesh),mixed media on printed cloth laid on board,1991,Height 43.3 in.; Width 43.3 in. / Height 109.9 cm.; Width 109.9 cm.,"Christie's New York: Wednesday, September 22, 2021 [Lot 00650]
South Asian Modern + Contemporary Art","35,000 USD Premium","12,000 - 15,000 USD ?"
Avinash Chandra,Untitled (Pahalgam),oil on canvas,1954,Height 24.5 in.; Width 29.5 in. / Height 62.2 cm.; Width 74.9 cm.,"Christie's New York: Wednesday, September 22, 2021 [Lot 00655]
South Asian Modern + Contemporary Art","20,000 USD Premium","18,000 - 25,000 USD ?"
Sakti Burman,Vol D'Oiseaux,oil on canvas,1973,Height 23.5 in.; Width 28.7 in. / Height 59.7 cm.; Width 73 cm.,"Christie's New York: Wednesday, September 22, 2021 [Lot 00617]
South Asian Modern + Contemporary Art",Bought In,"40,000 - 60,000 USD ?"
Mohammed Kibria,Untitled,oil on canvas,1988,Height 40 in.; Width 40 in. / Height 101.6 cm.; Width 101.6 cm.,"Christie's New York: Wednesday, September 22, 2021 [Lot 00678]
South Asian Modern + Contemporary Art","27,500 USD Premium","8,000 - 12,000 USD ?"
Narayan Shridhar Bendre,Untitled (Three Women),oil on canvas,1972,Height 45 in.; Width 42 in. / Height 114.3 cm.; Width 106.7 cm.,"Christie's New York: Wednesday, September 22, 2021 [Lot 00671]
South Asian Modern + Contemporary Art","225,000 USD Premium","80,000 - 120,000 USD ?"
Sadequain,Untitled (Surah Al-An'am and Surah Anbiya),oil and felt tip pen on canvas,1981,Height 38.3 in.; Width 159 in. / Height 97.2 cm.; Width 403.9 cm.,"Christie's New York: Wednesday, September 22, 2021 [Lot 00682]
South Asian Modern + Contemporary Art","75,000 USD Premium","60,000 - 80,000 USD ?"
Akbar Padamsee,Untitled (Mirror Image),oil on canvas,2005,Height 48 in.; Width 96 in. / Height 121.9 cm.; Width 243.8 cm.,"Christie's New York: Wednesday, September 22, 2021 [Lot 00633]
South Asian Modern + Contemporary Art",Bought In,"600,000 - 800,000 USD ?"
Sayed Haider Raza,Untitled (Village au Ciel Orange),oil on canvas,Circa 1956,Height 25.5 in.; Width 19.8 in. / Height 64.8 cm.; Width 50.2 cm.,"Christie's New York: Wednesday, September 22, 2021 [Lot 00636]
South Asian Modern + Contemporary Art",Bought In,"100,000 - 150,000 USD ?"
Akkitham Narayanan,Several Triangles,oil on canvas,1990,Height 38.4 in.; Width 51.3 in. / Height 97.5 cm.; Width 130.2 cm.,"Christie's New York: Wednesday, September 22, 2021 [Lot 00648]
South Asian Modern + Contemporary Art","7,500 USD Premium","4,500 - 6,000 USD ?"
Laxman Shreshtha,Untitled,oil on canvas,Height 50 in.; Width 50 in. / Height 127 cm.; Width 127 cm.,Signed,"8,000 - 12,000 USD ?",,"16,250 USD Premium ?"
Akkitham Narayanan,Green and Red,oil on canvas,2010,Height 59.3 in.; Width 77 in. / Height 150.5 cm.; Width 195.6 cm.,"Christie's New York: Wednesday, September 22, 2021 [Lot 00649]
South Asian Modern + Contemporary Art","16,250 USD Premium","6,000 - 8,000 USD ?"
Devi Prosad Roy Chowdhury,Untitled (Hope Lost; Despair),oil on board,Height 14.4 in.; Width 22 in. / Height 36.5 cm.; Width 55.9 cm.,"Signed, Inscribed","5,000 - 7,000 USD ?",,"16,250 USD Premium ?"
Hokkei,Tiger looking at the moon,Hanging scroll; ink and color on silk,Height 46.9 in.; Width 19.6 in. / Height 119.1 cm.; Width 49.8 cm.,Signed,"15,000 - 20,000 USD ?",,"350,000 USD Premium ?"
Maki Bokusen,Two beauties with fan and samisen,"Hanging scroll; ink, color and gold on silk",Height 42.9 in.; Width 17 in. / Height 108.9 cm.; Width 43.2 cm.,Signed,"4,000 - 6,000 USD ?",,"25,000 USD Premium ?"
Al Souza,Flame out,printed paper puzzle pieces on panel,1999,Height 41 in.; Width 48 in. / Height 104.1 cm.; Width 121.9 cm.,"Christie's New York: Thursday, June 10, 2021 [Lot 00112]
La Rêverie: The Collection of Sydell Miller","7,500 USD Premium","4,000 - 6,000 USD ?"
Alexander Liberman,ERG XXIII and ERG XVIII,acrylic and charcoal on canvas,1978,Height 45.5 in.; Width 60 in. / Height 115.6 cm.; Width 152.4 cm.,"Christie's New York: Thursday, June 10, 2021 [Lot 00127]
La Rêverie: The Collection of Sydell Miller","30,000 USD Premium","6,000 - 8,000 USD ?"
Elliott Puckette,Untitled,oil on panel,2000,Width 42 in.; Depth 42 in. / Width 106.7 cm.; Depth 106.7 cm.,"Christie's New York: Thursday, June 10, 2021 [Lot 00114]
La Rêverie: The Collection of Sydell Miller","18,750 USD Premium","6,000 - 8,000 USD ?"
Jean Dubuffet,Estampage Au Vieillard,ink and paper collage on paper laid down on canvas,1957,Height 19.8 in.; Width 13.1 in. / Height 50.2 cm.; Width 33.3 cm.,"Christie's New York: Thursday, June 10, 2021 [Lot 00120]
La Rêverie: The Collection of Sydell Miller","60,000 USD Premium","60,000 - 80,000 USD ?"
Tiffany Studios,"Twenty-Two Archival photographs from the former collection of Agnes Northrop, circa 1898-1920","comprising: 12 albumen prints, 9 gelatin silver prints, 1 photogravure",Circa 1898-1920,Height 14.4 in.; Width 11.3 in. / Height 36.7 cm.; Width 28.6 cm.,"Christie's New York: Wednesday, May 26, 2021 [Lot 00128]
Tiffany","23,750 USD Premium","8,000 - 12,000 USD ?"
Roberto Fabelo,Travesía doméstica,oil on canvas,2015,Height 80.7 in.; Width 126 in. / Height 205 cm.; Width 320 cm.,"Christie's New York: Wednesday, May 19, 2021 [Lot 00002]
Latin American Art","437,500 USD Premium","150,000 - 200,000 USD ?"
Fernando de Szyszlo,Paracas,oil on canvas,2002,Height 59.1 in.; Width 47.2 in. / Height 150 cm.; Width 120 cm.,"Christie's New York: Wednesday, May 19, 2021 [Lot 00004]
Latin American Art","131,250 USD Premium","60,000 - 80,000 USD ?"
Rufino Tamayo,Naturaleza muerta,oil on canvas,1935,Height 30 in.; Width 59.4 in. / Height 76.2 cm.; Width 151 cm.,"Christie's New York: Wednesday, May 19, 2021 [Lot 00016]
Latin American Art",Bought In,"1,800,000 - 2,500,000 USD ?"
Roberto Montenegro,Figuras de barro,oil on masonite,1947,Height 23.6 in.; Width 27.8 in. / Height 60 cm.; Width 70.7 cm.,"Christie's New York: Wednesday, May 19, 2021 [Lot 00012]
Latin American Art",Bought In,"30,000 - 40,000 USD ?"
David Alfaro Siqueiros,Pelea fratricida,oil on masonite,1963,Height 11.9 in.; Width 17.9 in. / Height 30.2 cm.; Width 45.4 cm.,"Christie's New York: Wednesday, May 19, 2021 [Lot 00020]
Latin American Art","93,750 USD Premium","60,000 - 80,000 USD ?"
Rufino Tamayo,Paisaje árido,oil on canvas,1973,Height 38 in.; Width 51 in. / Height 96.5 cm.; Width 129.5 cm.,"Christie's New York: Wednesday, May 19, 2021 [Lot 00021]
Latin American Art","350,000 USD Premium","250,000 - 350,000 USD ?"
Oswaldo Guayasamín,"Madre y niño, fondo amarillo",oil on canvas,1989,Height 29.5 in.; Width 29.5 in. / Height 74.9 cm.; Width 74.9 cm.,"Christie's New York: Wednesday, May 19, 2021 [Lot 00026]
Latin American Art","75,000 USD Premium","70,000 - 90,000 USD ?"
Fernando de Szyszlo,Cuarto de Paso IV,acrylic on canvas,1981,Height 38.7 in.; Width 38.7 in. / Height 98.4 cm.; Width 98.4 cm.,"Christie's New York: Wednesday, May 19, 2021 [Lot 00038]
Latin American Art","23,750 USD Premium","30,000 - 40,000 USD ?"
Claudio Bravo,Celestial Blue Paper,oil on canvas,2006,Height 39.5 in.; Width 47.6 in. / Height 100.3 cm.; Width 121 cm.,"Christie's New York: Wednesday, May 19, 2021 [Lot 00042]
Latin American Art","475,000 USD Premium","400,000 - 600,000 USD ?"
Julio Larraz,On the Estuary of Santa Ana,oil on canvas,2013,Height 40 in.; Width 50 in. / Height 101.6 cm.; Width 127 cm.,"Christie's New York: Wednesday, May 19, 2021 [Lot 00046]
Latin American Art","62,500 USD Premium","60,000 - 80,000 USD ?"
Antonio Seguí,Texture,acrylic and fabric collage on canvas,1990-1991,Height 51.2 in.; Width 63.8 in. / Height 130 cm.; Width 162 cm.,"Christie's New York: Wednesday, May 19, 2021 [Lot 00067]
Latin American Art",Bought In,"40,000 - 60,000 USD ?"
Cundo Bermúdez,Reposo,oil on canvas,1989,Height 47 in.; Width 67 in. / Height 119.4 cm.; Width 170.2 cm.,"Christie's New York: Wednesday, May 19, 2021 [Lot 00074]
Latin American Art","62,500 USD Premium","60,000 - 80,000 USD ?"
Wifredo Lam,Untitled,oil on canvas,Circa 1927,Height 25.2 in.; Width 19.3 in. / Height 64.1 cm.; Width 49 cm.,"Christie's New York: Wednesday, May 19, 2021 [Lot 00075]
Latin American Art","75,000 USD Premium","50,000 - 70,000 USD ?"
Gunther Gerzso,Espejo (Autorretrato),oil on canvas,1988,Height 31.9 in.; Width 25.6 in. / Height 81 cm.; Width 65 cm.,"Christie's New York: Wednesday, May 19, 2021 [Lot 00022]
Latin American Art","212,500 USD Premium","80,000 - 120,000 USD ?"
Alejandro Obregón,Hummingbird,oil on canvas,Circa 1963,Height 12 in.; Width 19.8 in. / Height 30.5 cm.; Width 50.2 cm.,"Christie's New York: Wednesday, May 19, 2021 [Lot 00006]
Latin American Art","25,000 USD Premium","25,000 - 35,000 USD ?"
Fernando Botero,Viaje místico,oil on canvas,1966,Height 55 in.; Width 65 in. / Height 139.7 cm.; Width 165.1 cm.,"Christie's New York: Wednesday, May 19, 2021 [Lot 00007]
Latin American Art","750,000 USD Premium","400,000 - 600,000 USD ?"
Rodolfo Morales,Pájaro azul,oil on canvas,1998,Height 31.5 in.; Width 39 in. / Height 80 cm.; Width 99 cm.,"Christie's New York: Wednesday, May 19, 2021 [Lot 00019]
Latin American Art","37,500 USD Premium","40,000 - 60,000 USD ?"
Francisco Toledo,Pescados enterrados,oil and sand on canvas,1971,Height 28.9 in.; Width 37.1 in. / Height 73.5 cm.; Width 94.3 cm.,"Christie's New York: Wednesday, May 19, 2021 [Lot 00024]
Latin American Art",Bought In,"300,000 - 400,000 USD ?"
Fernando de Szyszlo,Ritual Landscape,oil on canvas,Circa 1959,Height 41.7 in.; Width 49.4 in. / Height 106 cm.; Width 125.5 cm.,"Christie's New York: Wednesday, May 19, 2021 [Lot 00035]
Latin American Art","62,500 USD Premium","25,000 - 35,000 USD ?"
Julio Larraz,A Visit from Catherine de' Medici,oil on canvas,2013,Height 40 in.; Width 50 in. / Height 101.6 cm.; Width 127 cm.,"Christie's New York: Wednesday, May 19, 2021 [Lot 00043]
Latin American Art","62,500 USD Premium","60,000 - 80,000 USD ?"
Armando Reverón,Antiguo camino de El Valle (also known as Antigua carretera de El Valle),oil on canvas,1920,Height 26.4 in.; Width 41.3 in. / Height 67 cm.; Width 105 cm.,"Christie's New York: Wednesday, May 19, 2021 [Lot 00033]
Latin American Art","137,500 USD Premium","60,000 - 80,000 USD ?"
Wifredo Lam,Untitled (also known as Cabeza adornada con pájaro),oil on canvas,1972,Height 13.8 in.; Width 17.5 in. / Height 35 cm.; Width 44.5 cm.,"Christie's New York: Wednesday, May 19, 2021 [Lot 00039]
Latin American Art",Bought In,"40,000 - 60,000 USD ?"
Fernando Botero,The Bather,oil on canvas,1975,Height 93 in.; Width 49.6 in. / Height 236.2 cm.; Width 126 cm.,"Christie's New York: Wednesday, May 19, 2021 [Lot 00040]
Latin American Art","1,830,000 USD Premium","1,800,000 - 2,500,000 USD ?"
Armando Morales,Étude: Forêt tropicale III,oil on canvas,1986,Height 19.5 in.; Width 24 in. / Height 49.5 cm.; Width 61 cm.,"Christie's New York: Wednesday, May 19, 2021 [Lot 00045]
Latin American Art","56,250 USD Premium","60,000 - 80,000 USD ?"
